PROJ #,DATE ACTIVE,PROJECT NAME,"STRATA 
PLAN","# OF 
UNITS",PM,"ONSITE CONTACT
",STRATA TYPE,"INSURANCE
COMPANY","INSURANCE
EXPIRY (ANNIV)",DATE OF LAST FIRE INSPECTION,"DATE OF LAST
APPRAISAL",APPRAISAL CO. & CONTRACT YEAR,"LIEN
FEE",LIEN INVOICING CODES,"MOVE IN 
FEE","MOVE OUT 
FEE",RSERVICE,FISCAL YEAR END,AGM DEADLINE,LAST AGM HELD / WAIVER SIGNED
5293,1-Nov-12,"MAYNARDS BLOCK
5293W - 445 West 2nd Avenue ? The West Building
5293N - 1919 Wylie Street ? The North Building
5293S - 429 West 2nd Avenue ? The South/Heritage Building
5293T - Townhouses Addresses:
408, 418, 428, 438, 448, 458, 468 West 1st Avenue ? The North Building
Vancouver, B.C.
",EPS984,254 Units,CS,"Building Manager: Ricardo Trejo
778-689-8376
ricardo.trejo@allbrightservices.ca 

Concierge: 604-838-7016 (cell ? ok to give out)
604-872-3569 ? desk
maynards@rservice.ca",AIR SPACE PARCEL,Acera,24-Sep-25,16-Nov-15,"Tuesday, September 24, 2024","NORMAC
Year 1 of 3",$200.00 ,,"$100.00 non-refundable
$190 non-refundable security guard fee

$300.00 non-refundable security guard fee on a statutory holiday

(b) must provide a $100.00 non-refundable fee prior to a move-in or move-out and a $190 non-refundable security guard fee prior to a move-in or move-out. If the booking is on a statutory holiday, the non-refundable security guard fee is $300. There will be no move-in or move-out fee applicable to townhouses","$100.00 non-refundable
$190 non-refundable security guard fee

$300.00 non-refundable security guard fee on a statutory holiday

(b) must provide a $100.00 non-refundable fee prior to a move-in or move-out and a $190 non-refundable security guard fee prior to a move-in or move-out. If the booking is on a statutory holiday, the non-refundable security guard fee is $300. There will be no move-in or move-out fee applicable to townhouses",No,30-Nov,30-Jan,21-Jan-16
5295,1-Jan-13,"OASIS
2955 Atlantic Avenue
Coquitlam, BC V3B 0H9",BCS4512,255 Units,FY,"Building Manager
Richard Li
Office: 604-461-2504
Cell: 778-870-2553
oasis@rservice.ca",AIR SPACE PARCEL,BFL Canada,17-Dec-25,14-Dec-15,"Tuesday, December 17, 2024","NORMAC
Year 3 of 3",$200.00 ,,$100.00 ,,Yes,28-Feb,28-Apr,5-May-16
5300,1-May-13,"VANTAGE
2077 Rosser Avenue
Burnaby, BC
V5C 0G6
",EPS809,185 units,JT,"Concierge
vantageconcierge@rservice.ca
604-570-0139",NORMAL,Acera,11-Apr-26,29-Jan-16,"Friday, April 11, 2025","NORMAC
Year 1 of 3",$200.00 ,,,,Yes,30-Jun,30-Aug,12-Sep-16
5301,1-Jun-13,"THE RESIDENCES AT SUTER BROOK
301 Capilano Road
Port Moody, BC
V3H 0G6",EPS1232,176 units,JL,"Building Manager
Akshat
778-875-5586
theresidences@rservice.ca

Office Hours: 
Monday to Friday, 8am-4pm",NORMAL,BFL Canada,9-May-26,30-Jun-15,"Friday, May 9, 2025","NORMAC
Year 1 of 3",$200.00 ,,"$200
$300 Damage Deposit (Cash Only)
","$200
$300 Damage Deposit (Cash Only)
",Yes,31-Jul,30-Sep,22-Sep-16
5302,1-Aug-13,"KITS 360 - JOINT
1777 West 7th Avenue
1772, 1776, 1778, 1780, 1782, 1786, 1788 West 6th Avenue
2288 Burrard Street 
Vancouver, B.C. 
V6J 0E5",EPS808,256 Total,GR,"Ricky Campos 
604-839-8165
fcampos@rservice.ca

Concierge:
Tel: 604-336-2889
Cell: 604-619-3273
Email: kits360concierge@rservice.ca",JOINT,BFL Canada,31-Jul-25,15-May-15,"Thursday, July 31, 2025","NORMAC
Year 1 of 3",$200.00 ,,$100.00 ,,,30-Sep,30-Nov,3-Nov-16
5303,1-Aug-13,"KITS 360 - RESIDENTIAL 
1777 West 7th Avenue
1772, 1776, 1778, 1780, 1782, 1786, 1788 West 6th Avenue
Vancouver, B.C. 
V6J 0E5",EPS808,251 Units,GR,"Ricky Campos 
604-839-8165
fcampos@rservice.ca

Concierge:
Tel: 604-336-2889
Cell: 604-619-3273
Email:kits360concierge@rservice.ca",RESIDENTIAL SECTION,BFL Canada,31-Jul-25,,"Thursday, July 31, 2025","NORMAC
Year 1 of 3",$200.00 ,,$100.00 ,,Yes,30-Sep,30-Nov,3-Nov-16
5306,1-Nov-13,"LOCAL ON LONSDALE
TH - 1621, 1623, 1625, 1629, 1631, 1633, 
1635, 1637, 1639, 1641 Eastern Avenue
Residential Tower - 135 East 17th Street
North Vancouver, BC 
V7L 0C4
",EPS1614,176 units,SB,"Building Manager:
Fernando Sousa
Cell: 604-790-0251

localonlonsdale@rservice.ca
",AIR SPACE PARCEL,BFL Canada,6-Sep-25,23-Mar-15,"Saturday, September 6, 2025","NORMAC
Year 1 of 3",$200.00 ,,"$100 + $100 admin fee
furnished units $50",$100.00 admin fee,No,30-Nov,30-Jan,12-Jan-16
"5308
5308-T (Townhomes)
",1-Dec-13,"THE MARK 
1372 Seymour Street
Vancouver, BC
V6B 0L1

Townhomes: 555 & 565 Pacific St. / 1378, 1382, 1386, 1390 & 1394 Seymour St.",EPS1231,288 Units,YM,"Building Manager:
Yeoman Halibas
Yeoman@nrgclean.ca
cell: 778-636-1731 (do not give out)


Concierge: Basu / Pragati
Cell: 604-315-8289
themarkconcierge@rservice.ca",NORMAL,BFL Canada,14-Dec-25,22-Apr-15,"Saturday, December 14, 2024","NORMAC
Year 3 of 3",$200.00 ,,$200.00 ,$200.00 ,Yes,28-Feb,28-Apr,5-Apr-16
"5310
5310-1 (Building 1, 1177 Marine Dr)
5310-2 (Building 2, 1182 W 16th St)",1-Dec-13,"THE DRIVE 2
Building 1
1177 Marine Drive
North Vancouver, BC V7P 1T1

Building 2
1182 West 16th Street
North Vancouver, BC V7P 0B3",EPS1399,81 Residential Units,SB,"Building Manager:
Maja Andrejevic
maja@ecoplanetcanada.ca

Site Contact: Simran
Telephone: 604-218-1893
Email: thedrive2@rservice.ca",AIR SPACE PARCEL,Acera,1-Nov-25,20-Feb-15,"Friday, November 1, 2024","NORMAC
Year 3 of 3",$200.00 ,,$100.00 ,$100.00 ,No,31-Oct,31-Dec,7-Dec-16
5311,1-Dec-13,"WELLINGTON STATION
11887 Burnett Street
Maple Ridge, BC V2X 6P6",EPS1316,75 Residential Units,CG,Contact Cathy,NORMAL,"Hub
(32988 South Fraser Way branch)",10-Dec-25,14-Jun-16,"Tuesday, December 10, 2024","NORMAC
Year 3 of 3",$200.00 ,,$200.00 ,$200.00 ,No,31-Oct,31-Dec,17-Jan-17
5312,,"THE VICTORIA (JOINT)
751 & 789 Helmcken V6B 5R1",LMS1608,58 Units,"CKS/KN  
(KaWing is PM)
(AW is Admin)","Bldg. Super: Ben Longno
Cell: 604-839-5060
blongno@rservice.ca ",JOINT,JT INSURANCE,31-Dec-25,22-Oct-15,"Saturday, December 6, 2014","NORMAC
Year 3 of 3",$200.00 ,PRO/DEVEL/XXXX,$50.00 ,$50.00 ,,30-Aug,30-Oct,3-Nov-16
5314,1-Feb-14,"258 CONDOS
258 6th Street
New Westminster, BC 
V3L 0G6",EPS1877,"64 RES
11 COMM
",HB,"
258stratacouncil@gmail.com

",NORMAL,BFL Canada,1-Mar-26,11-Feb-15,"Saturday, March 1, 2025","NORMAC
Year 3 of 3",$200.00 ,,"$300

$300 DD
","$300

$300 DD
",No,28-Feb,28-Apr,9-May-16
5315,1-Apr-14,"CAMBIE + 7
538 West 7th Avenue
Vancouver, BC
V5Z 1B3

TH1 = 546, TH2 = 542, TH3 = 540, TH5 = 536, TH6 = 532, TH7 = 530 West 7th Avenue",EPS1923,57 Units,SA,"Building Manager:  Ifraz Ali  
Tel: 778-968-2784
Alt Tel: 604-218-5903
Ifraz.ali7@outlook.com",NORMAL,BFL Canada,17-Mar-26,"April 11-13, 2016","Monday, March 17, 2025","NORMAC
Year 3 of 3",$200.00 ,,"$150 regular move in 
$100 for Townhouses
$75 for internal

",$0 move out,No,31-May,31-Jul,27-Jul-16
5321,1-Aug-14,"LA CASITA
5783 Balsam Street
Vancouver, BC V6M 4B8",VAS2864,4 Units,CS,,ACCOUNTING ONLY,BFL Canada,22-May-26,16-Jul-15,"Thursday, May 22, 2025","NORMAC
Year 2 of 3",$200.00 ,PRO/DEVEL/XXXX,,,No,31-Dec,28-Feb,16-Feb-16
5322,1-Jun-14,"JACOBSEN
256 East 2nd Avenue
Vancouver, BC V5T 0A7

248, 250, 252, 254, 260, 262, 264, 266, 268, 270, 272, 274, 276, 278 & 280 East 2nd Ave.
Vancouver, BC V5T 1B7",BCS3638,125 Units,KN,"Kellyboy - Building Manager: Terence Melo
Phone: 604-396-0515 (During Work Hours)
Email: buildingmanager2@kellyboy.ca
Hours: Monday - Friday (8:00 a.m. to 4:00 p.m.)",NORMAL,BFL Canada,31-Jan-26,31-Oct-15,"Tuesday, February 25, 2025","NORMAC
YEAR 1 of 3",$200.00 ,,"$300
$150 for townhomes",,Yes,31-Jan,31-Mar,30-Mar-16
"5323
5323-1 (Tower 1, 9288 Odlin)
5323-2A (Tower 2A, 9299 Tomicki)
5323-2B (Tower 2B, 9199 Tomicki)
",1-Jul-14,"MERIDIAN GATE
9288 Odlin Road (Tower 1)
9199 Tomicki Avenue (Tower 2B)
9299 Tomicki Avenue (Tower 2A)
Richmond, BC",BCS3325,260 Units,YM,"Andres Rodriguez
8 am ? 4 pm
meridiangate@rservice.ca (OK to give out)
604-276-9950 (OK to give out)
",NORMAL,Acera,17-Mar-26,28-May-15,"Monday, March 17, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$300.00

$300.00 cash damage deposit
","$0.00

$300.00 cash damage deposit
",Yes,31-May,31-Jul,28-Jul-16
"5324
5324-1 (Tower 1, 8600 Park)
5324-2 (Tower 2, 6828 Eckersley)
5324-3 (Tower 3, 6800 Eckersley)
",1-Jun-14,"SAFFRON
6800 Eckersley Road, V6Y 0E7 (Tower 3)
6828 Eckersley Road, V6Y 0E8 (Tower 2)
8600 Park Road, V6Y 0C3 (Tower 1)
Richmond, BC",BCS4130,296 Units,JL,"Building Manager
Akshat Tiwari
Monday to Friday 8:00 a.m. to 4:00 p.m.
Email: Saffron@rservice.ca
Phone: 604-273-0626 (ok to give out)
Cell: 778-874-3782 (do not give out)
",NORMAL,HUB,31-Jul-25,19-Sep-16,"Thursday, July 31, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$300.00

$200 cash damage deposit",$200 cash damage deposit,YES,31-Aug,31-Oct,12-Oct-16
"5325
5325-1 (Tower 1, 9500 Odlin)
5325-2 (Tower 2, 9399 Tomicki)
",1-Jun-14,"CAMBRIDGE PARK
9500 Odlin Road V6X 0H5 (Tower 1)
9399 Tomicki Avenue V6X 0H6 (Tower 2)
Richmond, BC",BCS4008,229 Units,CCS,"Building Manager:
Frank
CambridgePark@rservice.ca
(604) 789-7960 (okay to give out)",NORMAL,"CondoSure
HUB
",1-May-26,"May 19-27, 2015","Thursday, May 1, 2025","NORMAC
Year 2 of 3",$200.00 ,,$200.00 ,,Yes,30-Apr,30-Jun,27-Jun-16
5326,,"THE BRITTANY (APARTMENTS)
3292 East 54th Avenue
Vancouver, BC V5S 0A1",BCS1545,71 Units,SC,,SECTION,Acera,1-Apr-26,,"Tuesday, April 1, 2025","NORMAC
Year 3 of 3",$200.00 ,,,,,31-Mar,31-May,9-Jun-16
5327,1-Sep-14,"THE AUSTIN (JOINT)
958 Ridgeway Avenue V3K 0C5
955 Austin Avenue V3K 3N9
Coquitlam, BC",EPS2243,137 Units,YM,"Building Manager: Trupti Shetty
Cell: 604-328-9448
theaustin@rservice.ca
",SECTION,BFL Canada,12-Aug-25,"September 21-24, 2015","Tuesday, August 12, 2025","NORMAC
Year 3 of 3",$200.00 ,,,,No,30-Sep,30-Nov,28-Nov-16
5328,1-Sep-14,"THE AUSTIN (RESIDENTIAL)
958 Ridgeway Avenue V3K 0C5
955 Austin Avenue V3K 3N9
Coquitlam, BC",EPS2243,133 Units,YM,"Building Manager: Trupti Shetty
Cell: 604-328-9448
theaustin@rservice.ca",SECTION,BFL Canada,12-Aug-25,,"Tuesday, August 12, 2025","NORMAC
Year 3 of 3",$200.00 ,,,,,30-Sep,30-Nov,28-Nov-16
5335,1-Oct-14,"LATITUDE
3485 Victoria Drive
Vancouver, BC",EPS1252,8 Units,"MC
(Admin Pool is Admin)","n/a

",ACCOUNTING ONLY,BFL Canada,31-Dec-25,,"Tuesday, December 31, 2024","NORMAC
Year 3 of 3",$200.00 ,PRO/ACCTING/XXXX,,,,31-Jul,30-Sep,29-Sep-16
5336,1-Feb-15,"KENSINGTON AT WILLOUGHBY TOWN CENTRE (JOINT)
20728 Willoughby Town Centre Drive
Langley, BC
V2Y 0P3",EPS2365,66 Units,BL,"Caretaker
Belle Hundal
Tel: 604-788-6165
Email: Kensington@rservice.ca

",,HUB,18-Mar-26,4-Sep-24,"Tuesday, March 18, 2025","NORMAC
Year 2 of 3",$200.00 ,,$200 (weekdays) / $325 (weekends) ,$0.00 ,,30-Apr,30-Jun,27-May-25
5337,1-Feb-15,"KENSINGTON AT WILLOUGHBY TOWN CENTRE (RESIDENTIAL)
20728 Willoughby Town Centre Drive
Langley, BC
V2Y 0P3",EPS2365,65 Units,BL,"Caretaker
Belle Hundal
Tel: 604-788-6165
Email: Kensington@rservice.ca
",,HUB,18-Mar-26,4-Sep-24,"Monday, March 18, 2024","NORMAC
Year 3 of 3",$200.00 ,,$200 (weekdays) / $325 (weekends) ,$0.00 ,Yes,30-Apr,30-Jun,29-May-24
"5339
5339T (Tomicki, Tower 1)
5339O (Odlin, Tower 2)
",1-Dec-14,"OMEGA
9333 Tomicki Avenue (Tower 1)
V6X 0L4
9388 Odlin Road (Tower 2)
Richmond, BC
V6X 0L5",EPS2415,245 Units,JL,"Building Manager: Michael Li
604-908-2643
omega@rservice.ca
Office Hours: 8:30am-9:30am & 3:30pm-4:30pm






",NORMAL,BFL Canada,10-Dec-25,22-Sep-16,"Tuesday, December 10, 2024","NORMAC
Year 2 of 3",$200.00 ,,"$200.00
",$0.00 ,YES,31-Jan,31-Mar,21-Mar-17
5344,1-Mar-15,"LE SOLEIL - HOTEL
567 Hornby Street
Vancouver, BC
V6C 3E8",LMS3837,127 Units,"CKS/KN  
(KaWing is PM)
(AW is Admin)","Varun Kuruvilla
672-755-1702
generalmanager@hotellesoleil.com",HOTEL SECTION,JT Insurance,31-Dec-25,5-Mar-15,"Tuesday, December 31, 2024","NORMAC
Year 2 of 3",$200.00 ,PRO/DEVEL/XXXX,,,,30-Sep,30-Nov,29-Nov-16
5345,1-Mar-15,"LE SOLEIL -COMMERCIAL  SECTION
567 Hornby Street
Vancouver, BC
V6C 3E8",LMS3837,3 Units,"CKS/KN  
(KaWing is PM)
(AW is Admin)","Varun Kuruvilla
672-755-1702
generalmanager@hotellesoleil.com",COMMERCIAL SECTION,JT Insurance,31-Dec-25,,"Sunday, December 31, 2023","NORMAC
Year 3 of 3",$200.00 ,PRO/DEVEL/XXXX,,,,30-Sep,30-Nov,29-Nov-16
5350,1-May-15,"SKALA
453 & 455 East 16th Avenue
Vancouver, B.C.",EPS2573,20 Units,"MC
(Admin Pool is Admin)","Chris Frederickson - #212
604-306-1062
chris@chrisfrederickson.ca
skalatownhomes@gmail.com
",ACCOUNTING ONLY,BFL Canada,30-Jun-25,,"Monday, June 30, 2025","NORMAC
Year 2 of 3",$200.00 ,PRO/ACCTING/XXXX,,,,30-Jun,30-Aug,16-Aug-16
5353,1-Jul-15,"THE MET
6588 Nelson Avenue
6598, 6590, 6578, 6570, 6568, 6560 Nelson Avenue
6569, 6579, 6585, 6595, 6599 Dunblane Avenue
Burnaby, BC
V5H 0E8
",EPS2809,295 Res,RY,"Concierge:
Name: Anson Yan
Email: themetconcierge@rservice.ca
Cell: 604-341-0457
Office: 604-449-5397 
Fax: 604-449-5398 

*Wayne Chan covers the evening shift.

Building Manager Name: Julian Wang
Building Manager Email: pangubm@gmail.com
Building Manager Phone: 604-418-4881",NORMAL,HUB,17-Jun-25,,"Tuesday, June 17, 2025","NORMAC
Year 2 of 3",$200.00 ,,$250.00 ,,,31-Aug,31-Oct,27-Oct-16
"5358
5358-A (7088 14th Ave., Bldg. A)
5358-B (7058 14th Ave., Bldg. B)
",1-Aug-15,"REDBRICK
Building A - 7088 14th Avenue
Burnaby, B.C. V3N 0E7
Building B - 7058 14th Avenue
Burnaby, B.C. V3N 0E6
",EPS2933,245 Units,CCS,"Building Manager:
David Yoo
Monday to Friday
604-728-1964
redbrickstrata@rservice.ca

",NORMAL,BFL Canada,9-Jul-25,,"Wednesday, July 9, 2025","NORMAC
Year 2 of 3",$200.00 ,,$150.00 ,$150.00 ,,30-Sep,30-Nov,30-Nov-16
5362,1-Sep-15,"1277 Nelson Street
Vancouver, BC
V6E 4M8",LMS1755,120 Units,SY,"Building Manager
Warley Silva
604 685 2860 (Office)
604 218 9741 (do not give out)
OFFICE HOURS: Mon-Fri, 8am-3pm

Ram Shrestha 
604-218-9741
1277caretaker@gmail.com
",NORMAL,Acera,31-Dec-25,,"Tuesday, December 31, 2024","NORMAC
Year 3 of 3",$200.00 ,,$200.00 ,,,31-Dec,28-Feb,15-Mar-16
5363,1-Sep-15,"HAMPTON COURT
1765 Marine Drive
West Vancouver, B.C.
V7V 1J5",LMS1435,"16 Res, 2 Comm",BK,"Bill from Council 
604-925-9677 (do not give out)",NORMAL,BFL Canada,31-May-25,,"Saturday, May 31, 2025","NORMAC
Year 2 of 3",$200.00 ,,"$200
(effective July 11, 2018)","$200
(effective July 11, 2018)",,31-May,31-Jul,1-Jun-16
5365,1-Nov-15,"RIVA

5365-1 - 5399 Cedarbridge Way, Richmond V6X 0L6
5365-2 ? 5311 Cedarbridge Way, Richmond V6X 0M3
",EPS2420,"341 Units, 2 Phases
Phase 1 - 143
Phase 2 - 198","CKS/KN  
(KaWing)
(AW is Admin)","Concierge
rivaconcierge@rservice.ca
Desk: 604-233-7761
Fax: 604-233-0275

Building Manager:
Russell Jung
604-928-4223
russell.jung@allbrightservices.ca",NORMAL,Acera,5-Oct-25,,"Saturday, October 5, 2024","NORMAC
Year 3 of 3",$200.00 ,,"$100
$250 for statutory holidays

This is not to be undertaken, it?s paid directly to the Concierge Company","$100

This is not to be undertaken, it?s paid directly to the Concierge Company",,30-Jun,30-Aug,6-Jun-16
5367,1-Jan-16,"STRATUS AT SOLO DISTRICT
2008 Rosser Avenue
Burnaby, BC 
V5C 0H8
",EPS1911,360 Units,SB,"Stratus Building Manager
604-506-6216
 stratusbm@alliancecleans.com

Concierge
604-299-6370
stratusconcierge@rservice.ca",AIR SPACE PARCEL,BFL Canada,31-Dec-25,,"Tuesday, December 31, 2024","NORMAC
Year 3 of 3",$200.00 ,,$225.00 ,$225.00 ,,28-Feb,28-Apr,25-Feb-16
5368,1-Jan-16,"ONE UNIVERSITY CRESCENT
5368-1: 9300 University Crescent
5368-2: 9310 University Crescent
5368-3: 9320 University Crescent
5368-4: 9330 University Crescent
5368-5: 9370 University Crescent
5368-6: 9380 University Crescent
5368-7: 9390 University Crescent
Burnaby, B.C. 
",BCS1345,113 Units,GR,"Resident Manager:
Heru Santoso
Cell: 604-338-1446 (do not give out)
Office: 604-299-1390
oucmanager@rservice.ca
",NORMAL,BFL Canada,2-Jul-25,,"Wednesday, July 2, 2025","NORMAC
Year 2 of 3",$150.00 ,,$100.00 ,$100.00 ,,31-Jan,31-Mar,29-Mar-16
"5369
5369-A: 508 West 29th Avenue
5369-B: 505 West 30th Avenue
5369-C: 4539 Cambie Street",1-Jan-16,"EMPIRE
 511 West 30th Ave
512 West 29th Ave
4525-4559 Cambie Street
5369-A: 508 West 29th Avenue
5369-B: 505 West 30th Avenue
5369-C: 4539 Cambie Street
Vancouver, BC",EPS3127,158 Units,BL,"
Resident Manager: Jamal Jomaa
empire@rservice.ca
Telephone: 604-831-0146
",NORMAL,BFL,7-Dec-25,2-Dec-24,"Saturday, December 7, 2024","NORMAC
Year 1 of 3",$200.00 ,,$250.00 ,$0.00 ,,28-Feb,28-Apr,24-Mar-25
"5370
5370-1 (Phase 1)
5370-2 (Phase 2)
",1-Jan-16,"THE LOOKOUT
Phase 1 ? 20 East Royal Avenue
Phase 2 ? 22 East Royal Avenue
New Westminster, B.C. 

",EPS3217,"Phase 1 - 49
Phase 2 - 66",KD,"Building Manager: 
Nep Soliva 
604-862-2593
lookout@rservice.ca

Caretaker:
Muno
604-862-2593 (do not give out)
lookout@rservice.ca (do not give out)
",NORMAL,BFL Canada,15-Dec-25,,"Sunday, December 15, 2024","NORMAC
Year 3 of 3",$200.00 ,,"150.00

Additional fees: Move fee plus $125 on weekends / plus time and a half on stat holidays","150.00

Additional fees: Move fee plus $125 on weekends / plus time and a half on stat holidays",,31-May,31-Jul,10-May-16
5374,1-Apr-16,"AVANT
2903 ? 2997 Wall Street
Vancouver, B.C.
V5K 0A6
",BCS4321,48 Units,KD,"Jun Guevarra
jun@linis.ca
604-351-7544 (do not give out)

",NORMAL,Acera,1-Jul-25,,"Tuesday, July 1, 2025","NORMAC
Year 3 of 3",$200.00 ,,,,YES,30-Jun,30-Aug,11-Aug-16
5375,1-May-16,"WESTWOOD
1123 Westwood Street V3B 0M1
3080 Lincoln Avenue V3B 0L9
TH - 3086 Lincoln Avenue
Coquitlam, B.C. 
V3B 0L9",EPS3436,249 Units,CZ,"Concierge
Sakib 
604-312-2470
westwoodconcierge@rservice.ca

Building Manager
Office: 604-202-5197
westwoodBM@rservice.ca
",AIR SPACE PARCEL,BFL Canada,25-Apr-26,,"Friday, April 25, 2025","NORMAC
Year 1 of 3",$200.00 ,,$150.00 ,$150.00 ,YES,31-Aug,31-Oct,14-Jul-16
"5377
5377-1
5377-2",1-Aug-16,"ONE PACIFIC 
5377-1: 68 Smithe Street
Vancouver, B.C. 
V6B 0P4 

5377-2: 38 Smithe Street
Vancouver, B.C. 
V6B 0P3",EPS3602,434 Units,GR,"Allan Wong
 604-813-9972 (do not give out) 
awong@allbrightservices.ca (do not give out)

Concierge Email: onepacificconcierge@rservice.ca
604-688-0952",AIR SPACE PARCEL,BFL Canada,21-Jun-25,,"Saturday, June 21, 2025","NORMAC
Year 1 of 3",$200.00 ,,"$200.00
$100.00 furnished","$200.00
$100.00 furnished",,30-Sep,30-Nov,19-Sep-16
"5379
5379-1
5379-2
5379-TH",1-Sep-16,"CHARTWELL MEWS
Tower 1 - 8740 Citation Drive
Tower 2 - 8870 Citation Drive
Richmond, BC
V6Y 3AE

Townhomes:
8700, 8710, 8720, 8730, 8750, 8760, 8770, 8780, 8790, 8800, 8810, 8820, 8830, 8840, 8850, 8860 Citation Drive
Richmond, BC",NW1321,142 Units,KZ,"Building Manager 
Virgil (Part time)
chartwellmewscaretaker@gmail.com
236-971-4369
Working Hours: Mon to Fri 8am to 2pm
caretaker@kellyboy.ca (For booking Moves)",NORMAL,BFL Canada,31-Dec-25,,"Tuesday, December 31, 2024","NORMAC
Year 3 of 3",$200.00 ,,$100.00 ,,NO,31-Dec,28-Feb,21-Feb-17
"5380
5380-A: Building A
5380-BC: Building B/C",1-Aug-16,"BLOCK 100
Building A - 111 East 1st Avenue, V6A 0E9
Building B/C - 161 East 1st Avenue, V6A 0G1
Vancouver, BC

Building A TH
101, 103, 105 East 1st Avenue, V6A 0E8
1670, 1680, 1690, 1696 Quebec Street, V6A 3L6
Vancouver, BC

Building B & C TH
121, 123, 125, 127, 129, 131, 141, 143, 145, 147, 149 East 1st Avenue, V6A 0E8
Vancouver, BC",EPS3495,230 Units,YM,"
Building Manager
Artur Filho
Mobile: 604-612-1514
Email: Block100bm@rservice.ca

Concierge
Gino Bruno
Cell 604-290-7680
block100concierge@rservice.ca",AIR SPACE PARCEL,BFL Canada,31-Oct-25,,"Thursday, October 31, 2024","NORMAC
Year 3 of 3",$200.00 ,,"$200.00
Move fee only $100 for furnished suites
","200
Move fee only $100 for furnished suites",,31-Oct,31-Dec,19-Oct-16
5381,1-Aug-16,"ONE PACIFIC COMMERCIAL
30, 50, 60, 68 Smithe Street
959, 963 Pacific Blvd
Vancouver, BC",,,"CKS/CS
(Christie)
(Vickie is Admin)","Concierge: Abdullah
604-329-3234
onepacificconcierge@rservice.ca

Building Managers:
Joseph Jilong Ong
604-202-6171 (do not give out)
joseph.jilong.ong@allbrightservices.ca",AIR SPACE PARCEL,BFL Canada,27-Mar-26,,"Wednesday, March 27, 2024","NORMAC
Year 3 of 3",,PRO/DEVEL/XXXX,,,,n/a,n/a,n/a
5383,1-Jul-16,RIVA CLUB,,,"CKS/KN  
(KaWing)
(AW is Admin)",,,"Acera
Insurance part of 5365 ",5-Oct-25,,,,,,,,,n/a,n/a,n/a
"5385
(EXPAND ROW FOR COMPLETE LIST OF PROJECT NOs.)
5385-1A SL1-5 5108 Claude
5385-1B SL6-13 5028 Savile Row
5385-1C SL14-21 5048 Savile Row
5385-2A 5068 Savile Row
5385-2B 5088 Savile Row
5385-3A 5122 Canada Way
5385-3B 5128 Canada Way
5385-3C 5118 Savile Row
5385-4A 5208 Savile Row
5385-4B 5202 Savile Row
5385-5A 5132 Canada Way
5385-5B 5138 Canada Way
5385-5C 5148 Savile Row
5385-5D 5158 Savile Row
5385-5E 5168 Savile Row
5385-6A 5152 Canada Way
5385-6B 5178  Savile Row
5385-6C 5142 Canada Way
5385-6D 5188 Savile Row
5385-6E 5160 Canada Way
5385-7A 5228 Savile Row
5385-7B 5218 Savile Row
5385-8A 5058 Savile Row
5385-8B 5038 Savile Row
",1-Dec-16,"SAVILE ROW
5108 Claude Avenue V5E 0C1
5028, 5038, 5048, 5058, 5068, 5078, 5088, 5118, 5148, 5158, 5168, 5178, 5188, 5202, 5208, 5218, 5228 Savile Row
5122, 5128, 5132, 5138, 5142, 5152, 5160 Canada Way
Burnaby, BC

",EPS3492,"161 Units
(Phases 1-8)",SC,"Eugenio H. Dela Cruz
778-939-4468
savilerow@rservice.ca
",NORMAL,BFL Canada,14-Feb-26,,"Friday, February 14, 2025","NORMAC
Year 3 of 3",$200.00 ,,,,,,29-Feb,
5386,1-Jan-17,"PARK AVENUE
13750 100th Avenue
Surrey, BC V3T 0L3",EPS3859,424,GR,"Concierge
Tel: 604-581-1884
Fax: 604-589-1326
Cell: 604-230-6471
Email: parkavenueconcierge@rservice.ca

Building Manager
Ibrahim (Hussein) Abu 
Cell: 604-786-9582
Email: iabu@rservice.ca",NORMAL,HUB,1-Dec-25,,"Sunday, December 1, 2024","NORMAC
Year 3 of 3",$200.00 ,,$200.00 ,$0.00 ,,,29-Feb,
5387,,"CONCORD GARDENS ARTS UNITS
West Tower
8833 Hazelbridge Way
Richmond, BC V6X 0N3

North Tower
3131 Ketcheson Road
Richmond, BC V6S 0N4",EPS3767,20,"MR/CKS
(YF is Admin)",,ACCOUNTING,BFL Canada,29-Mar-26,,"Saturday, March 29, 2025","NORMAC
Year 2 of 3",$200.00 ,PRO/DEVEL/XXXX,,,,,29-Feb,
"5388
5388-1
5388-2
5388-3
5388-TH (SL1-18 + 234)",1-Dec-16,"CARRERA
Phase 1 (Building A) - 7338 Gollner Avenue V6Y 0H8
Phase 2 (Building B) - 7368 Gollner Avenue V6Y 0H9
Phase 3 (Building C) - 7328 Gollner Avenue V6Y 0H7
Richmond, BC
",EPS2876,335,"CF/TL
(BN is Admin)","Edward Kwok
604-786-9466
carrera@rservice.ca

Mon to Fri 
9am-5pm

",TYPES,Hub International,24-Jul-25,,"Thursday, July 24, 2025","NORMAC
Year 1 of 3
",$200.00 ,,"$200.00
(additional $100 during stat holidays)",$0.00 ,YES,31-Aug,31-Oct,26-Oct-16
